               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11012,             0.19746,            0.056131,            0.050215,             0.13011,            0.035314,            0.010711,            0.090049,             0.17774,            0.047499,            0.070283,           0.0033019,           0.0033019
                   1,            0.084835,             0.22454,            0.046039,             0.47374,             0.15371,            0.079385,            0.030209,            0.078948,             0.17441,            0.043489,            0.040152,           0.0065038,           0.0065038
                   2,            0.080431,              0.2285,            0.044148,             0.47554,             0.17871,            0.074229,            0.028827,            0.079643,             0.18392,            0.042289,           0.0098883,           0.0095738,           0.0095738
                   3,            0.076813,             0.22323,            0.042807,             0.51812,             0.21758,             0.12781,             0.05548,            0.070587,             0.18343,            0.041148,            0.009406,            0.009406,            0.009406
                   4,            0.072996,             0.22921,            0.041843,             0.46408,             0.26273,             0.16895,            0.077924,            0.066337,             0.17876,            0.040407,            0.009406,            0.009406,            0.009406
                   5,            0.070528,             0.22216,            0.040928,             0.48604,             0.30613,             0.20387,             0.10125,            0.064286,             0.17922,            0.039601,            0.009208,            0.009208,            0.009208
                   6,             0.06934,             0.22299,            0.040176,             0.50203,             0.26472,              0.1963,            0.092232,            0.065792,             0.17901,            0.039423,             0.00901,             0.00901,             0.00901
                   7,             0.06853,             0.22282,            0.039515,             0.52033,             0.29193,             0.22323,             0.10806,            0.064258,             0.17828,            0.038657,            0.008812,            0.008812,            0.008812
                   8,             0.06721,             0.22309,            0.038962,             0.52802,             0.29985,              0.2396,             0.11813,             0.06345,             0.17529,            0.038297,            0.008614,            0.008614,            0.008614
                   9,            0.066478,             0.22563,            0.038367,             0.54803,             0.30188,             0.24336,             0.11942,            0.063309,             0.17571,            0.037919,            0.008416,            0.008416,            0.008416
                  10,            0.065175,              0.2186,            0.037702,              0.5582,             0.30322,             0.26903,             0.14068,            0.061922,             0.17462,            0.037414,            0.008218,            0.008218,            0.008218
                  11,            0.064492,             0.21422,            0.037372,             0.56071,             0.29932,             0.25625,             0.13729,            0.060888,             0.17621,             0.03754,             0.00802,             0.00802,             0.00802
                  12,            0.064668,             0.21436,            0.037207,             0.55554,               0.287,             0.25275,              0.1282,            0.062522,             0.17807,            0.037388,            0.007822,            0.007822,            0.007822
                  13,            0.063358,             0.21708,            0.036769,             0.52031,              0.3087,             0.27357,             0.15047,            0.060521,             0.17442,            0.037107,            0.007624,            0.007624,            0.007624
                  14,            0.062821,             0.21037,            0.036535,             0.46933,             0.30677,             0.27637,             0.14837,            0.061727,              0.1753,            0.037146,            0.007426,            0.007426,            0.007426
                  15,            0.061847,             0.20816,            0.036064,             0.49207,             0.31515,              0.2835,             0.15038,            0.060673,             0.17434,            0.036922,            0.007228,            0.007228,            0.007228
                  16,            0.061304,             0.20845,            0.035705,             0.49203,             0.31313,             0.28534,             0.15374,            0.060229,             0.17564,            0.036866,             0.00703,             0.00703,             0.00703
                  17,            0.061334,             0.20991,            0.035363,             0.48963,             0.32405,             0.28839,             0.15577,            0.059775,             0.17262,            0.036729,            0.006832,            0.006832,            0.006832
                  18,            0.060743,             0.21014,            0.035207,             0.47319,             0.31922,              0.2873,              0.1551,            0.060156,             0.17453,            0.036935,            0.006634,            0.006634,            0.006634
