model_type,average_position,quadrant_frequency,class_frequency,score
LIN,True,True,True,1242823730174399.8
LIN,True,True,False,0.9485653245939408
LIN,True,False,True,1599333456448198.0
LIN,True,False,False,1.110244505873591
LIN,False,True,True,1120855725958328.8
LIN,False,True,False,0.9335223327955536
LIN,False,False,True,1.063729925794948
SVM,True,True,True,0.6431372549019608
SVM,True,True,False,0.6431372549019608
SVM,True,False,True,0.6431372549019608
SVM,True,False,False,0.6431372549019608
SVM,False,True,True,0.6431372549019608
SVM,False,True,False,0.7647058823529411
SVM,False,False,True,0.6705882352941176
RF,True,True,True,1794766679269308.8
RF,True,True,False,0.9289854755161497
RF,True,False,True,2188289265139010.5
RF,True,False,False,1.1890876617172614
RF,False,True,True,2457029831117122.0
RF,False,True,False,1.0335045432925702
RF,False,False,True,1.0512443341050144
